date,prec,tmin,tmax,tmed
2008-03-05,0,-3.689,4.528,-0.23380555555555554
2008-03-06,0,-7.061,2.467,-2.537486111111111
2008-03-07,0,2.704,11.93,7.205770833333333
2008-03-08,0,5.255,12.68,8.826229166666666
2008-03-09,0,3.134,12,6.2572222222222225
2008-03-10,0,1.916,9.73,6.5953333333333335
2008-03-11,0.2,6.204,14.5,10.628423611111112
2008-03-12,0,8.02,15.08,11.486180555555556
2008-03-13,0,8.43,14.63,11.54625
2008-03-14,0,9.97,18.42,14.051180555555556
2008-03-15,0,9.58,16.99,13.900277777777777
2008-03-16,0,8.15,17.13,13.703125
2008-03-17,0,9.62,14.43,11.830486111111112
2008-03-18,0,2.627,12.26,8.1875
2008-03-19,0.2,0.554,7.282,4.039340277777778
2008-03-20,4.7,-0.075,4.255,1.5711319444444445
2008-03-21,7.9,-0.613,5.144,2.2843125
2008-03-22,0.1,-0.417,9.81,5.298222222222222
2008-03-23,0,-2.834,1.423,-1.3525208333333334
2008-03-24,0,-3.546,7.761,2.6296875
2008-03-25,0,2.257,10.26,5.586402777777778
2008-03-26,0,3.272,11.93,6.644173611111111
2008-03-27,0,2.114,13,7.2582708333333334
2008-03-28,0,7.375,14.6,10.709409722222222
2008-03-29,0,6.751,13.16,10.304618055555556
2008-03-30,0.8,3.989,13.64,8.933289855072465
2008-03-31,0.1,0.544,9.28,5.309326388888889
2008-04-01,0,2.863,10.63,6.4898541666666665
2008-04-02,0,2.935,10.12,6.893381944444444
2008-04-03,0,7.376,14.84,10.980368055555555
2008-04-04,0,5.432,13.26,9.806652777777778
2008-04-05,0,5.262,12.99,8.961465277777778
2008-04-06,0,8.87,15.35,12.364791666666667
2008-04-07,4.6,4.294,12.94,8.91225
2008-04-08,12.9,3.376,7.743,5.321979166666667
2008-04-09,15.8,6.956,9.28,7.810548611111111
2008-04-10,3.6,3.44,7.23,5.44675
2008-04-11,0.1,-0.558,4.811,2.1554375
2008-04-12,0.1,-1.431,6.409,2.5327916666666668
2008-04-13,0,0.242,9.5,4.909479166666666
2008-04-14,0,2.73,10.05,6.4465763888888885
2008-04-15,0,3.344,11.25,7.442756944444445
2008-04-16,0,3.399,11.9,9.077298611111111
2008-04-17,9,4.803,8.7,6.520027777777778
2008-04-18,22,1.416,6.135,4.170395833333333
2008-04-19,26.8,0.779,4.3,2.9856041666666666
2008-04-20,16.8,-0.048,3.749,1.4785416666666666
2008-04-21,1.9000000000000001,0.506,7.572,3.4115972222222224
2008-04-22,0,2.012,5.186,2.901813953488372
2008-04-23,0,9.66,12.85,11.353561643835617
2008-04-24,0,9.49,15.42,12.343680555555556
2008-04-25,0,10.24,17.06,13.466319444444444
2008-04-26,0,10.38,18.73,14.214930555555556
2008-04-27,0,9.01,16.24,13.008333333333333
2008-04-28,0,11.37,17.3,13.908680555555556
2008-04-29,0,6.962,14.3,11.133159722222222
2008-04-30,0,6.519,14.12,10.51351388888889
2008-05-01,0,5.838,15.86,10.773722222222222
2008-05-02,0,8.43,17.03,12.818680555555556
2008-05-03,0,11.33,18.29,14.503333333333334
2008-05-04,0,10.27,17.47,14.098402777777778
2008-05-05,0,10.68,17.4,14.157916666666667
2008-05-06,0,10.58,18.02,14.174097222222223
2008-05-07,0,9.93,17.64,13.8025
2008-05-08,15.6,7.264,12.77,8.6081875
2008-05-09,6,4.401,9.76,6.905333333333333
2008-05-10,16.71,0.848,5.999,3.4822777777777776
2008-05-11,7.39,3.988,10.12,6.432645833333333
2008-05-12,0.1,3.038,11.38,6.525631944444444
2008-05-13,0,5.39,9.81,8.095180555555556
2008-05-14,0,6.24,13.2,9.133597222222223
2008-05-15,0,6.922,13.85,10.632451388888889
2008-05-16,0,5.728,13.16,9.057152777777778
2008-05-17,0,4.501,12.38,8.3489375
2008-05-18,3.7,4.16,12.89,7.877506944444445
2008-05-19,2.1,3.683,10.74,6.863326388888889
2008-05-20,0,4.81,14.22,9.169930555555556
2008-05-21,0,6.587,14.05,10.499368055555555
2008-05-22,0,7.23,16.17,12.213368055555556
2008-05-23,0,9.69,16.07,13.14125
2008-05-24,0,6.341,13.37,10.224881944444444
2008-05-25,0.4,4.569,8.14,5.9785
2008-05-26,0,3.34,9.71,6.764020833333333
2008-05-27,1.2000000000000002,3.921,10.39,6.1633125
2008-05-28,0,4.467,12.72,7.518138888888889
2008-05-29,0,3.959,13.54,9.3854375
2008-05-30,0.6000000000000001,8.02,12.92,9.941458333333333
2008-05-31,0.2,4.228,12.07,7.767361111111111
2008-06-01,0,4.573,14.36,8.498777777777779
2008-06-02,0,6.075,13.88,9.995173611111111
2008-06-03,0,7.033,13.78,10.600868055555555
2008-06-04,0,8.63,15.15,11.894375
2008-06-05,0,10.03,18.46,14.064722222222223
2008-06-06,0,9.15,14.84,11.765416666666667
2008-06-07,0,9.08,14.67,11.657847222222223
2008-06-08,1.1,7.025,14.46,10.974152777777778
2008-06-09,0.1,5.691,11.35,8.272215277777779
2008-06-10,0,4.938,14.56,9.814569444444444
2008-06-11,0,6.553,14.63,10.701618055555556
2008-06-12,0,8.46,15.25,11.977986111111111
2008-06-13,0,9.97,17.5,13.95125
2008-06-14,0,12.6,21.09,17.02638888888889
2008-06-15,0,14.41,22.36,18.428402777777777
2008-06-16,0,14.54,20.75,17.332916666666666
2008-06-17,0,8.02,17.64,13.331111111111111
2008-06-18,0,10.17,17.91,14.389166666666666
2008-06-19,0,13.8,21.23,17.370625
2008-06-20,0,14.55,22.12,18.314930555555556
2008-06-21,0,15.03,23.93,19.11520833333333
2008-06-22,0,15.19,25.13,21.145138888888887
2008-06-23,0,14.85,25.78,20.843055555555555
2008-06-24,0,16.7,23.86,19.697291666666665
2008-06-25,0,16.84,23.9,20.310208333333332
2008-06-26,0,16.33,24.51,21.00888888888889
2008-06-27,0,16.81,25.16,20.910555555555554
2008-06-28,0,16.16,22.09,19.046944444444446
2008-06-29,0,15.06,23.21,19.967430555555556
2008-06-30,0,16.26,24,19.78048611111111
2008-07-01,0,15.44,22.57,18.979097222222222
2008-07-02,0,16.29,23.86,20.521319444444444
2008-07-03,0,17.56,25.44,20.99416666666667
2008-07-04,0,14.45,23.63,19.734444444444446
2008-07-05,0,17.59,24.38,21.29923611111111
2008-07-06,0,17.59,22.6,19.902638888888887
2008-07-07,0,15.95,24.65,19.889166666666668
2008-07-08,0,15.51,24.59,19.833333333333332
2008-07-09,0,16.84,26.2,22.25263888888889
2008-07-10,0,20.39,26.75,23.57548611111111
2008-07-11,0,18.24,26.61,21.763472222222223
2008-07-12,0,14.34,22.26,18.89465277777778
2008-07-13,0,12.19,18.46,15.045277777777779
2008-07-14,0.1,11.03,18.12,14.324305555555556
2008-07-15,0,10.79,17.03,13.296597222222223
2008-07-16,0,10,17.54,13.354930555555555
2008-07-17,0,10.62,20.38,15.787430555555556
2008-07-18,0,14.45,23.11,19.225694444444443
2008-07-19,0,16.26,27.43,22.50409722222222
2008-07-20,0,19.87,27.33,23.876527777777778
2008-07-21,0,17.66,26.3,23.109861111111112
2008-07-22,0,16.12,24.11,21.133125
2008-07-23,0,19.03,26.34,22.80909722222222
2008-07-24,0,17.92,25.45,22.50638888888889
2008-07-25,0,17.66,25.96,21.42527777777778
2008-07-26,0,16.26,24.46,20.005694444444444
2008-07-27,0,16.36,24.28,20.36638888888889
2008-07-28,0,17.66,23.98,20.498194444444444
2008-07-29,0,16.87,24.63,20.583055555555557
2008-07-30,0,17.76,24.56,20.916458333333335
2008-07-31,0,17.9,26.37,21.404027777777777
2008-08-01,0,17.18,24.39,20.542083333333334
2008-08-02,0,17.11,22.54,20.04986111111111
2008-08-03,0,17.69,25.96,21.74625
2008-08-04,0,19.23,27.36,23.113958333333333
2008-08-05,0,20.02,27.74,23.468055555555555
2008-08-06,0,19.13,25.79,22.814097222222223
2008-08-07,0,18.34,25.93,22.787708333333335
2008-08-08,0,15.47,22.75,19.586458333333333
2008-08-09,0,15.68,22.37,18.74326388888889
2008-08-10,0,17.59,24.25,20.729166666666668
2008-08-11,0,18.65,27.16,22.66888888888889
2008-08-12,0,20.56,29,25.074236111111112
2008-08-13,0,19.88,27.05,23.868541666666665
2008-08-14,0,18.78,26.2,22.3875
2008-08-15,0,12.98,22,19.132291666666667
2008-08-16,0,12.84,22.06,17.698958333333334
2008-08-17,0,14.99,21.79,18.061944444444446
2008-08-18,0,15.81,25.31,20.536597222222223
2008-08-19,0,17.49,26.34,21.862430555555555
2008-08-20,0,15.88,24.83,19.762708333333332
2008-08-21,0,16.91,23.67,20.626944444444444
2008-08-22,0,17.76,24.46,21.562291666666667
2008-08-23,0,12.74,20.63,16.900277777777777
2008-08-24,0,13.04,19.67,15.797638888888889
2008-08-25,0,14.89,21.79,18.151805555555555
2008-08-26,0,15.2,23.09,18.607291666666665
2008-08-27,0,14.89,21.75,17.99395833333333
2008-08-28,0,15.64,21.79,18.110972222222223
2008-08-29,0,15.85,22.13,18.44902777777778
2008-08-30,0,14.41,22.54,18.76972222222222
2008-08-31,0,14.58,21.93,17.743472222222223
2008-09-01,0,13.39,20.93,16.549375
2008-09-02,0,12.74,23.63,16.911458333333332
2008-09-03,0,15.16,23.09,19.43125
2008-09-04,4,-50.19,22.3,16.671944444444446
2008-09-05,0,13.63,22.78,17.542083333333334
2008-09-06,0,14.17,21,17.510833333333334
2008-09-07,0,11.2,19.29,15.018611111111111
2008-09-08,0,12.7,22.71,18.206666666666667
2008-09-09,0,15.51,22.37,18.542708333333334
2008-09-10,33,10.21,18.57,15.274791666666667
2008-09-11,0.1,11.98,20.01,16.14576388888889
2008-09-12,0,10.41,18.98,15.087430555555557
2008-09-13,0,8.43,14.95,11.624791666666667
2008-09-14,0,9.22,17.16,12.837430555555555
2008-09-15,0,11.85,20.28,16.069166666666668
2008-09-16,0,12.46,19.56,15.839375
2008-09-17,1.1,12.02,18.77,15.135
2008-09-18,0,13.73,19.56,16.123402777777777
2008-09-19,0,12.94,17.82,14.950972222222223
2008-09-20,0,12.26,19.62,16.00611111111111
2008-09-21,0,12.67,21.03,16.745625
2008-09-22,0,10.1,18.7,13.309652777777778
2008-09-23,27.8,8.87,13.89,11.05
2008-09-24,0,8.5,14.23,10.946111111111112
2008-09-25,7.6000000000000005,8.46,13.41,10.460833333333333
2008-09-26,1.9000000000000001,7.914,12.19,9.671027777777777
2008-09-27,3.7,7.264,10.75,8.754854166666666
2008-09-28,0,7.88,12.09,9.636805555555556
2008-09-29,0,7.606,12.85,10.140402777777778
2008-09-30,0,6.212,11.43,8.494965277777778
2008-10-01,0,5.33,11.83,8.878145833333333
2008-10-02,0,8.23,14.26,11.154444444444444
2008-10-03,0,7.48,15.01,10.661041666666666
2008-10-04,0,5.739,10.38,8.132034722222222
2008-10-05,0,7.04,14.77,11.603701388888888
2008-10-06,0,11.06,17.64,14.44763888888889
2008-10-07,0,10.89,16.27,13.351319444444444
2008-10-08,0,6.107,14.04,10.319666666666667
2008-10-09,5.4,3.654,8.91,6.2469375
2008-10-10,0,9.11,15.12,12.528541666666667
2008-10-11,0,12.46,16.62,14.334861111111111
2008-10-12,0,10.48,16.58,13.031041666666667
2008-10-13,0,9.35,16.41,12.608055555555556
2008-10-14,7.3,6.586,11.78,9.411847222222223
2008-10-15,0,7.815,14.02,10.564041666666666
2008-10-16,0,7.613,14.84,11.171006944444445
2008-10-17,0,7.819,14.19,11.117430555555556
2008-10-18,0,8.22,14.02,10.514305555555556
2008-10-19,1.7,8.12,13.38,9.896805555555556
2008-10-20,3,7.948,14.22,10.618270833333334
2008-10-21,0.2,6.452,13.78,9.24023611111111
2008-10-22,3.9,6.962,10.72,8.454625
2008-10-23,0.1,7.777,13.89,10.235194444444444
2008-10-24,0,5.999,11.57,8.699659722222222
2008-10-25,1.1,5.832,11.09,7.873256944444444
2008-10-26,0,7.845,14.74,11.092118055555556
2008-10-27,0,6.888,13.09,9.629388888888888
2008-10-28,4.7,-0.994,10,5.528472222222223
2008-10-29,0,-1.054,6.17,1.9935972222222222
2008-10-30,0,-2.355,9.79,3.986847222222222
2008-10-31,65.4,2.354,4.809,3.591597222222222
2008-11-01,30.6,0.301,5.007,2.7937569444444446
2008-11-02,5.6000000000000005,-0.304,5.554,2.4262847222222224
2008-11-03,3.1,-0.78,2.753,1.0446875
2008-11-04,1.9000000000000001,-0.383,4.395,1.5385277777777777
2008-11-05,2.3000000000000003,0.513,7.708,3.569958333333333
2008-11-06,0,-0.37,7.627,3.7294375
2008-11-07,0,2.388,9.3,5.7745625
2008-11-08,0,2.491,8.51,5.584229166666667
2008-11-09,0,2.046,9.44,5.451479166666667
2008-11-10,0,3.722,10.67,7.075458333333334
2008-11-11,0,4.058,10.45,7.379173611111111
2008-11-12,0,1.673,10.97,6.199777777777777
2008-11-13,0,-0.268,6.75,2.683340277777778
2008-11-14,0,-0.268,5.423,2.0254097222222223
2008-11-15,0,0.52,7.289,4.001
2008-11-16,0,1.909,7.795,4.433451388888889
2008-11-17,0,2.012,9.16,5.574208333333333
2008-11-18,0,3.038,9.81,6.187388888888889
2008-11-19,0,0.51,5.793,3.2728055555555557
2008-11-20,0,0.581,8.22,3.5618125
2008-11-21,0,2.354,8.62,4.7812777777777775
2008-11-22,0,2.696,10.21,5.852159722222222
2008-11-23,0,2.593,7.668,5.081048611111111
2008-11-24,0,-0.178,11.46,6.088951388888889
2008-11-25,0.9,-2.765,3.313,0.17768055555555556
2008-11-26,5.8999999999999995,-4.203,1.201,-1.4689722222222221
2008-11-27,0,-2.632,2.339,-0.04788194444444444
2008-11-28,0.6000000000000001,-2.423,4.392,0.9682361111111111
2008-11-29,10.700000000000001,-3.142,1.191,-1.3883055555555555
2008-11-30,0,-3.45,-0.998,-2.3317847222222223
2008-12-01,0,-5.195,-0.863,-2.1088125
2008-12-02,0.4,-5.191,1.458,-2.0135972222222223
2008-12-03,0.1,-3.142,4.532,0.46220833333333333
2008-12-04,0.5,-0.41,10.99,3.7443680555555554
2008-12-05,0,7.093,11.38,9.0164375
2008-12-06,0,4.092,10.84,7.969805555555555
2008-12-07,0,3.066,11.8,6.20475
2008-12-08,19.7,0.609,6.238,3.4351041666666666
2008-12-09,0.1,-0.343,4.221,1.390777777777778
2008-12-10,0,-3.485,4.152,0.42456944444444444
2008-12-11,0,-4.168,1.86,-0.6185347222222222
2008-12-12,0.30000000000000004,-3.005,2.971,-0.3542361111111111
2008-12-13,30.2,-3.347,5.563,1.2177916666666666
2008-12-14,0.1,-5.264,3.309,-2.8221944444444444
2008-12-15,0.7000000000000001,-7.174,-0.294,-4.155763888888889
2008-12-16,0,-5.873,4.056,-1.4053055555555556
2008-12-17,0,-1.504,9.06,2.8713611111111113
2008-12-18,0,-0.07,6.17,3.144604166666667
2008-12-19,0,2.798,10.56,6.2851944444444445
2008-12-20,0,2.217,10.85,7.8492291666666665
2008-12-21,0,6.99,13.54,9.511569444444444
2008-12-22,0,5.529,11.71,9.772395833333334
2008-12-23,0,5.759,9.98,7.495409722222222
2008-12-24,0,1.806,8.22,5.231243055555556
2008-12-25,0,1.772,6.53,4.385715277777778
2008-12-26,0,-2.423,8.46,3.5255763888888887
2008-12-27,0,-2.081,5.041,2.4959652777777777
2008-12-28,11.1,-0.144,3.783,2.1618541666666666
2008-12-29,0.1,1.252,4.46,2.942
2008-12-30,0,3.104,8.34,5.909006944444444
2008-12-31,0,3.57,9.14,5.627402777777778
2009-01-01,0,3.442,8.32,5.739597222222222
2009-01-02,3.5,3.673,6.922,5.202284722222222
2009-01-03,8.6,0.267,6.172,3.7909166666666665
2009-01-04,0,-0.286,4.015,1.5231180555555555
2009-01-05,0.1,-2.765,2.544,-0.3036597222222222
2009-01-06,0,-3.381,2.955,-1.1111805555555556
2009-01-07,0,-5.368,-0.459,-3.6566388888888888
2009-01-08,0,-6.838,-3.188,-4.655256944444444
2009-01-09,1.2000000000000002,-8.82,-0.835,-4.337833333333333
2009-01-10,0,-7.141,-2.635,-5.282965277777778
2009-01-11,1.4000000000000001,-5.634,3.16,-0.7342847222222222
2009-01-12,0.1,-3.211,3.228,-0.08401388888888889
2009-01-13,0.9,-1.402,6.512,1.858263888888889
2009-01-14,0,-0.93,5.296,1.3876458333333332
2009-01-15,0,0.164,6.428,3.3037708333333335
2009-01-16,0,-0.246,5.451,2.206027777777778
2009-01-17,0,-2.299,4.399,0.9061527777777778
2009-01-18,0,-2.191,8.75,5.189034722222222
2009-01-19,8,2.927,10.44,6.554729166666666
2009-01-20,0,-5.469,5.699,-0.8722013888888889
2009-01-21,0,-4.374,0.604,-2.2425763888888888
2009-01-22,16.2,-2.119,8.02,4.531444444444444
2009-01-23,9.8,5.075,9.69,7.433236111111111
2009-01-24,7.2,1.936,8.94,5.463958333333333
2009-01-25,3,-3.793,8.02,1.2735555555555556
2009-01-26,0,-5.058,0.579,-2.7288333333333332
2009-01-27,0.1,-2.02,6.819,3.573076388888889
2009-01-28,0,3.956,10.43,6.677513888888889
2009-01-29,0,4.023,9.88,6.779736111111111
2009-01-30,0.1,0.197,10.19,6.256958333333333
2009-01-31,0,-2.084,2.087,-0.5709375
2009-02-01,0,-3.052,0.438,-0.7651944444444444
2009-02-02,2.2,-1.204,1.704,0.001180555555555555
2009-02-03,14,-1.204,2.75,1.110125
2009-02-04,9.6,-0.315,3.239,1.2608611111111112
2009-02-05,0.2,-2.778,-0.075,-0.7475833333333334
2009-02-06,0,-5.64,-1.375,-3.375138888888889
2009-02-07,0,-5.572,-0.855,-3.1611736111111113
2009-02-08,8.5,-4.442,7.56,3.5882916666666667
2009-02-09,0,3.379,12.51,8.281402777777778
2009-02-10,0,3.652,11.98,7.819368055555556
2009-02-11,0,1.396,8.24,4.997993055555556
2009-02-12,0,0.885,9.09,4.8072083333333335
2009-02-13,0,2.525,10.41,5.4992777777777775
2009-02-14,0,3.072,9.91,5.5610486111111115
2009-02-15,0,-0.349,5.613,3.0746527777777777
2009-02-16,0,-2.912,4.297,1.1238472222222222
2009-02-17,0,-2.121,2.422,0.11419444444444445
2009-02-18,0,0.992,9.59,5.494590277777778
2009-02-19,0,2.525,9.62,5.546590277777778
2009-02-20,0.1,-0.895,4.643,1.647923611111111
2009-02-21,0,-1.465,4.733,1.5531875
2009-02-22,0,0.134,6.751,3.7604166666666665
2009-02-23,0,4.301,12.17,7.817993055555555
2009-02-24,0,3.243,9.06,6.254409722222222
2009-02-25,0,2.442,7.761,4.769458333333334
2009-02-26,0,3.925,10.97,7.123486111111111
2009-02-27,0.3,2.551,11.01,6.998243055555555
2009-02-28,9.7,0.404,4.707,2.4972986111111113
2009-03-01,0,2.485,5.964,4.020076388888889
2009-03-02,6.4,0.843,4.536,2.4506805555555555
2009-03-03,6.5,-0.623,3.206,1.0451666666666666
2009-03-04,33.6,-1.512,2.833,1.0494583333333334
2009-03-05,19.8,-2.126,1.396,-0.22425
2009-03-06,0.9,-3.25,7.743,2.4862847222222224
2009-03-07,0,5.116,12.44,8.764006944444445
2009-03-08,0,6.21,12.38,9.243631944444445
2009-03-09,0,6.105,11.32,8.694277777777778
2009-03-10,0,4.094,11.04,7.469909722222222
2009-03-11,0,6.008,12.92,9.471645833333334
2009-03-12,0,6.144,11.79,8.677069444444445
2009-03-13,0,5.735,15.15,11.013125
2009-03-14,0,8.67,15.56,11.84951388888889
2009-03-15,0,8.43,13.26,10.559305555555556
2009-03-16,0,4.851,12.58,8.873631944444444
2009-03-17,0,1.34,8.52,4.9698263888888885
2009-03-18,0,2.026,10.36,7.191319444444445
2009-03-19,0,4.338,12,8.132444444444445
2009-03-20,0,6.047,12.89,8.953576388888889
2009-03-21,0,5.896,10.68,8.07019708029197
2009-03-22,0.1,2.04,7.713,3.882375
2009-03-23,0,2.527,10.8,6.947958333333333
2009-03-24,0,5.498,14.74,10.278965277777777
2009-03-25,0,5.325,12.31,9.189527777777778
2009-03-26,0,7.985,15.04,11.439409722222223
2009-03-27,0,8.94,17.23,11.907847222222223
2009-03-28,0.30000000000000004,3.953,11.93,8.185708333333332
2009-03-29,0.4,-3.621,5.528,1.1357152777777777
2009-03-30,0,-4.335,3.095,-0.6313194444444444
2009-03-31,1.8,-2.252,2.681,0.6034375
2009-04-01,0.2,0.301,7.112,3.0172986111111113
2009-04-02,0,0.788,10.63,4.931180555555556
2009-04-03,0,3.654,9.95,6.609625
2009-04-04,0,4.577,10.91,7.839944444444445
2009-04-05,0,6.59,12.58,9.941402777777778
2009-04-06,0,7.914,14.29,11.38336111111111
2009-04-07,0,1.806,8.73,5.078291666666667
2009-04-08,0,0.486,8.48,4.750756944444444
2009-04-09,0,2.218,9.74,5.906263888888889
2009-04-10,0.6000000000000001,-0.616,6.751,2.9642013888888887
2009-04-11,0,-2.149,3.331,0.5388263888888889
2009-04-12,0,0.883,8.24,3.392451388888889
2009-04-13,0,-0.335,9.03,4.5311111111111115
2009-04-14,0.1,2.217,9.78,5.263347222222222
2009-04-15,9.9,-0.007,2.798,0.9912430555555556
2009-04-16,0,0.267,5.862,3.230638888888889
2009-04-17,0,0.513,6.443,3.5921944444444445
2009-04-18,7.6000000000000005,0.848,9.65,4.172069444444444
2009-04-19,7.9,1.567,5.725,3.621
2009-04-20,0,2.08,10.09,6.070631944444444
2009-04-21,0,4.235,14.8,7.935666666666667
2009-04-22,9.3,4.064,13.44,8.485409722222222
2009-04-23,25,5.018,14.29,9.8888541666666665
2009-04-24,0,8.84,18.84,14.591597222222223
2009-04-25,0,4.947,15.25,10.917451388888889
2009-04-26,5.1000000000000005,-0.725,5.154,2.1117777777777778
2009-04-27,0,0.109,9.9,5.228097222222222
2009-04-28,0,3.678,11.08,8.190520833333334
2009-04-29,0,3.072,13.47,8.422270833333334
2009-04-30,0,5.191,15.59,11.02020138888889
2009-05-01,0,3.038,10.75,6.461291666666667
2009-05-02,0,2.148,11.93,7.1134305555555555
2009-05-03,0,6.179,15.25,10.454777777777778
2009-05-04,0,6.043,15.49,10.8625
2009-05-05,0,6.93,16.89,11.869902777777778
2009-05-06,0,8.22,15.11,11.596111111111112
2009-05-07,0,8.91,17.95,13.443888888888889
2009-05-08,0,11.13,20.34,15.848958333333334
2009-05-09,8.200000000000001,7.196,15.95,12.305444444444445
2009-05-10,2.1,7.469,18.77,13.90895138888889
2009-05-11,0,10.89,19.59,15.666041666666667
2009-05-12,0,10.14,17.78,14.587152777777778
2009-05-13,0,7.232,15.52,10.716083333333334
2009-05-14,0,5.873,16,10.433208333333333
2009-05-15,0,6.9,14.22,10.600131944444444
2009-05-16,0,7.851,16.72,12.22820138888889
2009-05-17,0,9.32,20.41,14.805902777777778
2009-05-18,0,10.58,20.96,16.247708333333332
2009-05-19,0,11.85,23.21,17.142777777777777
2009-05-20,0,16.87,24.17,20.44736111111111
2009-05-21,0,15.81,25.65,20.932708333333334
2009-05-22,0,11.54,22.23,17.300694444444446
2009-05-23,0,5.98,15.37,11.048902777777778
2009-05-24,0,3.756,15.29,9.73826388888889
2009-05-25,0,5.946,17.06,11.467
2009-05-26,0,7.313,18.46,12.459909722222223
2009-05-27,0,8.91,16.45,12.20861111111111
2009-05-28,0,10.31,20.07,15.536111111111111
2009-05-29,0,12.33,20.55,16.214583333333334
2009-05-30,0,11.03,21.4,16.39236111111111
2009-05-31,0,11.06,22.15,16.60875
2009-06-01,0,13.97,23.39,18.95576388888889
2009-06-02,0,14.07,22.91,18.540555555555557
2009-06-03,0,12.36,22.88,17.543263888888887
2009-06-04,0,11.54,22.26,17.428958333333334
2009-06-05,0,9.35,18.91,13.346875
2009-06-06,0.2,6.728,14.85,11.15832638888889
2009-06-07,0,3.859,16.52,10.690659722222222
2009-06-08,0,7.476,16.65,13.307131944444444
2009-06-09,0,10.38,19.05,14.045069444444444
2009-06-10,0,9.56,22.5,16.69708333333333
2009-06-11,0,14.38,26.85,20.38138888888889
2009-06-12,0,16.5,26.81,22.189375
2009-06-13,0,17.87,28.01,22.71034722222222
2009-06-14,0.30000000000000004,14.65,26.71,22.195972222222224
2009-06-15,0.1,12.7,24.69,19.43263888888889
2009-06-16,1.6,13.28,21.93,17.56215277777778
2009-06-17,0,15.23,25.41,20.481180555555554
2009-06-18,0,18.55,25.14,21.045347222222222
2009-06-19,0,16.29,27.43,21.777916666666666
2009-06-20,0.5,15.98,26.78,21.489166666666666
2009-06-21,0,18.38,25.45,21.949930555555557
2009-06-22,0,16.43,25.48,21.0175
2009-06-23,0,16.09,26.13,21.73847222222222
2009-06-24,0,15.85,23.98,19.76826388888889
2009-06-25,0,13.8,20.63,17.127222222222223
