date,prec,tmin,tmax,tmed
2008-01-01,0,0.212,8.94,4.404118055555555
2008-01-02,8.9,2.689,8.19,4.6342847222222225
2008-01-03,21,-1.067,4.501,1.6604097222222223
2008-01-04,0.1,-2.526,2.822,0.2879791666666667
2008-01-05,0,0.176,11.86,6.548402777777778
2008-01-06,0,6.28,13.81,9.984166666666667
2008-01-07,0,6.998,13.85,10.103152777777778
2008-01-08,0,1.566,10.99,7.032173611111111
2008-01-09,0,0.271,4.938,2.847111111111111
2008-01-10,0,1.232,5.622,3.1700208333333335
2008-01-11,5.6,2.324,6.204,4.034993055555556
2008-01-12,0.1,0.063,9.39,3.006388888888889
2008-01-13,0,-0.883,9.76,3.0008333333333335
2008-01-14,29.7,0.642,5.178,2.583625
2008-01-15,0,-0.575,9.18,3.362625
2008-01-16,3.5,3.605,10.24,6.826784722222222
2008-01-17,0,2.051,12.17,7.212743055555555
2008-01-18,0,7.101,15.11,10.729548611111111
2008-01-19,0,5.94,12.14,8.591590277777778
2008-01-20,0,6.383,12.55,8.830916666666667
2008-01-21,0,7.82,13.54,10.721666666666666
2008-01-22,0,8.47,13.54,10.535652173913043
2008-01-23,0,3.072,10.56,7.769472222222222
2008-01-24,0,1.162,7.22,4.165111111111111
2008-01-25,0,1.765,5.247,3.6389444444444443
2008-01-26,0,0.164,6.212,3.217611111111111
2008-01-27,0,0.307,5.178,2.2238194444444446
2008-01-28,0,-0.951,7.159,2.775625
2008-01-29,0,-0.712,7.811,4.157548611111111
2008-01-30,0,3.281,9.06,6.097895833333333
2008-01-31,0,2.19,6.81,4.371472222222223
2008-02-01,0,2.159,8.49,4.873534722222222
2008-02-02,0,0.074,7.115,3.315347222222222
2008-02-03,0,-0.301,5.368,2.3007222222222223
2008-02-04,0.5,2.825,10.99,5.156729166666667
2008-02-05,0,2.325,10.36,6.135881944444445
2008-02-06,0,3.791,10.43,6.577541666666667
2008-02-07,0,3.551,9.21,6.1948541666666666
2008-02-08,0,4.164,11.38,7.559520833333333
2008-02-09,0,4.596,10.7,7.652527777777777
2008-02-10,0,2.833,10.3,5.9083958333333335
2008-02-11,0,0.941,7.572,4.5325347222222225
2008-02-12,0,-0.623,4.904,2.510479166666667
2008-02-13,0,1.572,8.44,4.483
2008-02-14,0.9,2.723,9.1,5.681125
2008-02-15,0.4,1.464,5.246,3.055513888888889
2008-02-16,0,0.271,6.128,3.053701388888889
2008-02-17,2.8,2.134,7.059,5.0921666666666665
2008-02-18,0.2,3.37,6.683,4.767069444444444
2008-02-19,15,1.279,6.854,4.817618055555555
2008-02-20,0,3.476,8.68,5.2988333333333335
2008-02-21,0,3.229,7.914,4.897277777777778
2008-02-22,0.4,2.901,7.777,5.127611111111111
2008-02-23,17.4,4.46,8.66,6.054909722222222
2008-02-24,18.400000000000002,4.391,9.81,6.270701388888889
2008-02-25,0.2,4.528,9.91,7.0841111111111115
2008-02-26,0,4.399,10.94,7.485006944444445
2008-02-27,0,5.226,11.73,7.793458333333334
2008-02-28,0,3.365,11.9,6.757395833333334
2008-02-29,0,3.072,8.55,5.140770833333334
2008-03-01,0,3.038,10.15,6.535361111111111
2008-03-02,0,5.771,12.17,8.415673611111112
2008-03-03,0,6.591,13.4,9.632027777777777
2008-03-04,0,0.541,10.63,6.930194444444444
