year,original,fitted,vi,plot
2000,321.463,321.994,nbr,LJN1
2001,331.023,328.203,nbr,LJN1
2002,313.265,334.412,nbr,LJN1
2003,329.797,340.62,nbr,LJN1
2004,375.407,346.829,nbr,LJN1
2005,338.18,353.038,nbr,LJN1
2006,242.073,242.073,nbr,LJN1
2007,348.43,257.393,nbr,LJN1
2008,234.934,272.712,nbr,LJN1
2009,316.129,288.031,nbr,LJN1
2010,346.98,303.35,nbr,LJN1
2011,343.262,318.669,nbr,LJN1
2012,354.62,333.988,nbr,LJN1
2013,382.843,349.307,nbr,LJN1
2014,400.437,364.626,nbr,LJN1
2015,406.019,379.945,nbr,LJN1
2016,399.619,395.264,nbr,LJN1
2017,384.767,410.583,nbr,LJN1
2018,442.591,425.902,nbr,LJN1
2019,414.986,441.221,nbr,LJN1
2020,414.777,456.54,nbr,LJN1
2021,457.989,471.859,nbr,LJN1
2000,387.786,380.26,nbr,LJN2
2001,410.768,385.261,nbr,LJN2
2002,382.237,390.263,nbr,LJN2
2003,424.257,395.265,nbr,LJN2
2004,426.904,400.267,nbr,LJN2
2005,390.307,405.268,nbr,LJN2
2006,306.304,410.27,nbr,LJN2
2007,391.326,415.272,nbr,LJN2
2008,319.724,420.274,nbr,LJN2
2009,391.304,425.276,nbr,LJN2
2010,406.767,430.277,nbr,LJN2
2011,449.76,435.279,nbr,LJN2
2012,388.78,440.281,nbr,LJN2
2013,451.709,445.283,nbr,LJN2
2014,471.952,450.284,nbr,LJN2
2015,480.367,455.286,nbr,LJN2
2016,464.845,460.288,nbr,LJN2
2017,416.881,465.29,nbr,LJN2
2018,502.765,470.291,nbr,LJN2
2019,439.49,475.293,nbr,LJN2
2020,484.406,480.295,nbr,LJN2
2021,517.376,485.297,nbr,LJN2
2000,287.6,307.056,nbr,LJN3
2001,296.012,299.281,nbr,LJN3
2002,284.564,291.506,nbr,LJN3
2003,307.565,283.731,nbr,LJN3
2004,312.364,275.956,nbr,LJN3
2005,258.385,268.181,nbr,LJN3
2006,240.908,260.406,nbr,LJN3
2007,276.398,252.631,nbr,LJN3
2008,219.807,244.855,nbr,LJN3
2009,252.666,258.922,nbr,LJN3
2010,315.417,272.989,nbr,LJN3
2011,325.554,287.056,nbr,LJN3
2012,355.603,301.123,nbr,LJN3
2013,362.22,315.19,nbr,LJN3
2014,350.155,329.257,nbr,LJN3
2015,314.735,343.324,nbr,LJN3
2016,391.745,357.391,nbr,LJN3
2017,358.861,371.458,nbr,LJN3
2018,380.757,385.525,nbr,LJN3
2019,371.388,399.592,nbr,LJN3
2020,394.334,413.659,nbr,LJN3
2021,416.646,427.726,nbr,LJN3
2000,285.828,313.254,nbr,LJQ1
2001,328.257,323.22,nbr,LJQ1
2002,351.985,333.186,nbr,LJQ1
2003,350.859,343.152,nbr,LJQ1
2004,398.289,353.118,nbr,LJQ1
2005,313.797,363.084,nbr,LJQ1
2006,-31.46,-31.46,nbr,LJQ1
2007,187.788,45.175,nbr,LJQ1
2008,233.147,121.811,nbr,LJQ1
2009,200.73,198.446,nbr,LJQ1
2010,182.047,275.082,nbr,LJQ1
2011,277.919,282.895,nbr,LJQ1
2012,277.556,290.708,nbr,LJQ1
2013,271.255,298.521,nbr,LJQ1
2014,309.689,306.335,nbr,LJQ1
2015,310.145,314.148,nbr,LJQ1
2016,319.636,321.961,nbr,LJQ1
2017,343.398,329.774,nbr,LJQ1
2018,352.436,337.588,nbr,LJQ1
2019,364.454,345.401,nbr,LJQ1
2020,331.223,353.214,nbr,LJQ1
2021,358.11,361.027,nbr,LJQ1
2000,276.651,285.581,nbr,LJQ2
2001,285.83,296.727,nbr,LJQ2
2002,321.304,307.873,nbr,LJQ2
2003,325.648,319.02,nbr,LJQ2
2004,364.854,330.166,nbr,LJQ2
2005,306.392,341.312,nbr,LJQ2
2006,-26.23,-26.23,nbr,LJQ2
2007,137.537,32.122,nbr,LJQ2
2008,130.928,90.473,nbr,LJQ2
2009,86.716,148.824,nbr,LJQ2
2010,182.292,164.163,nbr,LJQ2
2011,233.729,179.502,nbr,LJQ2
2012,213.826,194.84,nbr,LJQ2
2013,239.416,210.179,nbr,LJQ2
2014,229.341,225.518,nbr,LJQ2
2015,269.943,240.856,nbr,LJQ2
2016,270.225,256.195,nbr,LJQ2
2017,223.807,271.534,nbr,LJQ2
2018,292.197,286.872,nbr,LJQ2
2019,304.178,302.211,nbr,LJQ2
2020,311.555,317.55,nbr,LJQ2
2021,315.206,332.888,nbr,LJQ2
