year,original,fitted,vi,plot
2000,227.179,212.815,nbr,LJQ3
2001,204.966,224.255,nbr,LJQ3
2002,236.426,235.694,nbr,LJQ3
2003,246.078,247.134,nbr,LJQ3
2004,263.822,258.574,nbr,LJQ3
2005,193.102,177.961,nbr,LJQ3
2006,89.779,97.349,nbr,LJQ3
2007,155.282,115.507,nbr,LJQ3
2008,143.19,133.665,nbr,LJQ3
2009,141.869,151.823,nbr,LJQ3
2010,165.217,169.981,nbr,LJQ3
2011,181.498,188.138,nbr,LJQ3
2012,191.499,206.296,nbr,LJQ3
2013,261.637,224.454,nbr,LJQ3
2014,224.086,242.612,nbr,LJQ3
2015,244.918,247.072,nbr,LJQ3
2016,264.787,251.532,nbr,LJQ3
2017,233.253,255.992,nbr,LJQ3
2018,260.492,260.452,nbr,LJQ3
2019,258.203,264.912,nbr,LJQ3
2020,252.121,269.372,nbr,LJQ3
2021,299.653,273.832,nbr,LJQ3
2000,408.37,417.348,ndvi,LJN1
2001,420.719,423.053,ndvi,LJN1
2002,433.993,428.757,ndvi,LJN1
2003,477.704,434.462,ndvi,LJN1
2004,517.127,440.166,ndvi,LJN1
2005,444.655,445.871,ndvi,LJN1
2006,380.313,451.576,ndvi,LJN1
2007,439.938,457.28,ndvi,LJN1
2008,413.622,462.985,ndvi,LJN1
2009,452.149,468.689,ndvi,LJN1
2010,445.62,474.394,ndvi,LJN1
2011,453.249,480.099,ndvi,LJN1
2012,471.748,485.803,ndvi,LJN1
2013,480.451,491.508,ndvi,LJN1
2014,492.375,497.212,ndvi,LJN1
2015,509.534,502.917,ndvi,LJN1
2016,544.737,508.622,ndvi,LJN1
2017,486.243,514.326,ndvi,LJN1
2018,554.167,520.031,ndvi,LJN1
2019,512.32,525.735,ndvi,LJN1
2020,540.627,531.44,ndvi,LJN1
2021,562.321,537.144,ndvi,LJN1
2000,458.768,501.409,ndvi,LJN2
2001,498.941,496.395,ndvi,LJN2
2002,498.012,491.381,ndvi,LJN2
2003,536.66,486.367,ndvi,LJN2
2004,515.364,481.353,ndvi,LJN2
2005,474.033,476.339,ndvi,LJN2
2006,422.792,471.325,ndvi,LJN2
2007,485.578,480.562,ndvi,LJN2
2008,455.556,489.799,ndvi,LJN2
2009,484.8,499.035,ndvi,LJN2
2010,509.692,508.272,ndvi,LJN2
2011,523.404,517.509,ndvi,LJN2
2012,498.672,526.745,ndvi,LJN2
2013,551.615,535.982,ndvi,LJN2
2014,583.266,545.219,ndvi,LJN2
2015,559.076,554.455,ndvi,LJN2
2016,552.805,563.692,ndvi,LJN2
2017,530.295,572.929,ndvi,LJN2
2018,613.736,582.166,ndvi,LJN2
2019,573.648,591.402,ndvi,LJN2
2020,590.836,600.639,ndvi,LJN2
2021,629.435,609.876,ndvi,LJN2
2000,329.601,329.699,ndvi,LJN3
2001,345.137,336.35,ndvi,LJN3
2002,369.51,343,ndvi,LJN3
2003,367.176,349.65,ndvi,LJN3
2004,383.321,356.301,ndvi,LJN3
2005,356.761,362.951,ndvi,LJN3
2006,323.958,369.601,ndvi,LJN3
2007,346.389,376.251,ndvi,LJN3
2008,356.069,382.902,ndvi,LJN3
2009,361.895,389.552,ndvi,LJN3
2010,386.2,396.202,ndvi,LJN3
2011,416.106,402.853,ndvi,LJN3
2012,423.737,409.503,ndvi,LJN3
2013,433.402,416.153,ndvi,LJN3
2014,437.041,422.804,ndvi,LJN3
2015,414.847,429.454,ndvi,LJN3
2016,472.045,436.104,ndvi,LJN3
2017,428.277,442.754,ndvi,LJN3
2018,457.739,449.405,ndvi,LJN3
2019,442.351,456.055,ndvi,LJN3
2020,472.987,462.705,ndvi,LJN3
2021,465.057,469.356,ndvi,LJN3
2000,416.813,426.761,ndvi,LJQ1
2001,436.893,440.171,ndvi,LJQ1
2002,481.46,453.581,ndvi,LJQ1
2003,443.154,466.991,ndvi,LJQ1
2004,507.289,480.401,ndvi,LJQ1
2005,476.107,493.812,ndvi,LJQ1
2006,169.101,169.101,ndvi,LJQ1
2007,311.747,224.015,ndvi,LJQ1
2008,350.166,278.929,ndvi,LJQ1
2009,319.298,333.843,ndvi,LJQ1
2010,342.113,388.757,ndvi,LJQ1
2011,414.62,392.964,ndvi,LJQ1
2012,413.049,397.171,ndvi,LJQ1
2013,361.04,401.378,ndvi,LJQ1
2014,415.685,405.585,ndvi,LJQ1
2015,420.639,409.792,ndvi,LJQ1
2016,436.706,414,ndvi,LJQ1
2017,420.319,418.207,ndvi,LJQ1
2018,415.292,422.414,ndvi,LJQ1
2019,436.029,426.621,ndvi,LJQ1
2020,414.596,430.828,ndvi,LJQ1
2021,442.614,435.036,ndvi,LJQ1
2000,400.856,410.521,ndvi,LJQ2
2001,418.279,418.561,ndvi,LJQ2
2002,435.342,426.601,ndvi,LJQ2
2003,437.908,434.642,ndvi,LJQ2
2004,459.38,442.682,ndvi,LJQ2
2005,431.963,450.722,ndvi,LJQ2
2006,160.912,160.912,ndvi,LJQ2
2007,239.048,233.315,ndvi,LJQ2
2008,302.85,305.717,ndvi,LJQ2
2009,256.533,314.788,ndvi,LJQ2
2010,365.974,323.858,ndvi,LJQ2
2011,372.622,332.929,ndvi,LJQ2
2012,315.762,341.999,ndvi,LJQ2
2013,342.487,351.07,ndvi,LJQ2
2014,380.605,360.14,ndvi,LJQ2
2015,385.61,369.21,ndvi,LJQ2
2016,383.846,378.281,ndvi,LJQ2
2017,361.05,387.351,ndvi,LJQ2
2018,398.649,396.422,ndvi,LJQ2
2019,391.191,405.492,ndvi,LJQ2
2020,422.904,414.563,ndvi,LJQ2
2021,423.045,423.633,ndvi,LJQ2
2000,295.652,294.331,ndvi,LJQ3
2001,294.795,304.783,ndvi,LJQ3
2002,335.644,315.235,ndvi,LJQ3
2003,309.547,325.686,ndvi,LJQ3
2004,340.535,336.138,ndvi,LJQ3
2005,294.335,269.886,ndvi,LJQ3
2006,191.408,203.633,ndvi,LJQ3
2007,193.651,220.168,ndvi,LJQ3
2008,251.468,236.703,ndvi,LJQ3
2009,234.414,253.238,ndvi,LJQ3
2010,251.072,269.773,ndvi,LJQ3
2011,316.642,286.307,ndvi,LJQ3
2012,277.998,302.842,ndvi,LJQ3
2013,330.271,319.377,ndvi,LJQ3
2014,313.764,322.889,ndvi,LJQ3
2015,305.584,326.4,ndvi,LJQ3
2016,328.318,329.911,ndvi,LJQ3
2017,285.284,333.422,ndvi,LJQ3
2018,330.364,336.934,ndvi,LJQ3
2019,334.678,340.445,ndvi,LJQ3
2020,348.731,343.956,ndvi,LJQ3
2021,361.702,347.467,ndvi,LJQ3
