plot;dnbr_yd60;type;dnbr_yd152
LJQ2;385;exact;378
LJQ2;402;neighbor;388
LJQ2;469;neighbor;479
LJQ2;390;neighbor;386
LJQ2;307;neighbor;309
LJQ2;373;neighbor;384
LJQ2;577;neighbor;579
LJQ2;409;neighbor;425
LJQ2;359;neighbor;362
LJQ1;438;exact;446
LJQ1;288;neighbor;309
LJQ1;352;neighbor;401
LJQ1;362;neighbor;404
LJQ1;537;neighbor;544
LJQ1;486;neighbor;497
LJQ1;389;neighbor;408
LJQ1;407;neighbor;415
LJQ1;269;neighbor;290
LJQ3;152;exact;164
LJQ3;129;neighbor;148
LJQ3;183;neighbor;188
LJQ3;195;neighbor;207
LJQ3;316;neighbor;323
LJQ3;233;neighbor;242
LJQ3;173;neighbor;216
LJQ3;80;neighbor;105
LJQ3;52;neighbor;91
